temperature, rainfall, humudity, yeild_apples
37.00 76.00 74.00 411.00
86.00 80.00 40.00 366.00
57.00 86.00 45.00 364.00
31.00 94.00 87.00 480.00
45.00 31.00 46.00 245.00
26.00 20.00 31.00 159.00
56.00 36.00 68.00 332.00
96.00 96.00 48.00 432.00
35.00 57.00 23.00 218.00
51.00 28.00 78.00 341.00
44.00 40.00 78.00 358.00
69.00 44.00 78.00 391.00
52.00 29.00 84.00 362.00
49.00 91.00 85.00 486.00
44.00 45.00 51.00 287.00
92.00 48.00 78.00 422.00
37.00 30.00 42.00 223.00
62.00 34.00 59.00 307.00
66.00 71.00 61.00 391.00
100.00 77.00 20.00 314.00
95.00 30.00 25.00 230.00
86.00 45.00 100.00 476.00
70.00 60.00 99.00 487.00
37.00 36.00 55.00 274.00
50.00 33.00 26.00 194.00
33.00 40.00 64.00 305.00
86.00 98.00 25.00 357.00
57.00 75.00 21.00 270.00
53.00 24.00 73.00 320.00
34.00 78.00 23.00 259.00
55.00 45.00 42.00 271.00
89.00 84.00 82.00 503.00
68.00 47.00 84.00 414.00
48.00 87.00 38.00 336.00
45.00 67.00 67.00 380.00
44.00 29.00 77.00 333.00
79.00 72.00 58.00 397.00
31.00 70.00 96.00 459.00
31.00 73.00 49.00 324.00
92.00 56.00 85.00 459.00
69.00 60.00 85.00 444.00
66.00 26.00 35.00 223.00
94.00 81.00 79.00 493.00
29.00 71.00 65.00 366.00
23.00 97.00 21.00 280.00
74.00 64.00 85.00 457.00
39.00 86.00 76.00 439.00
22.00 83.00 52.00 344.00
32.00 21.00 59.00 251.00
37.00 87.00 61.00 394.00
29.00 85.00 64.00 391.00
94.00 72.00 48.00 382.00
85.00 83.00 73.00 470.00
48.00 65.00 25.00 253.00
50.00 91.00 77.00 463.00
23.00 36.00 40.00 215.00
46.00 72.00 51.00 343.00
90.00 68.00 95.00 511.00
47.00 58.00 32.00 259.00
80.00 85.00 85.00 505.00
73.00 76.00 36.00 333.00
26.00 89.00 95.00 489.00
84.00 27.00 37.00 249.00
55.00 37.00 57.00 300.00
41.00 97.00 59.00 412.00
30.00 21.00 41.00 195.00
24.00 62.00 32.00 244.00
73.00 58.00 73.00 408.00
57.00 82.00 67.00 422.00
66.00 30.00 60.00 306.00
36.00 87.00 41.00 333.00
96.00 25.00 86.00 404.00
45.00 89.00 20.00 283.00
46.00 72.00 64.00 382.00
77.00 77.00 75.00 456.00
29.00 65.00 62.00 345.00
80.00 44.00 90.00 438.00
43.00 25.00 94.00 375.00
55.00 86.00 76.00 455.00
45.00 53.00 77.00 382.00
35.00 85.00 38.00 319.00
63.00 38.00 22.00 205.00
36.00 87.00 59.00 387.00
92.00 22.00 32.00 232.00
100.00 58.00 90.00 486.00
31.00 98.00 78.00 461.00
86.00 21.00 82.00 374.00
35.00 56.00 60.00 327.00
63.00 37.00 81.00 380.00
45.00 89.00 80.00 463.00
43.00 59.00 61.00 344.00
40.00 47.00 54.00 296.00
83.00 35.00 68.00 357.00
89.00 75.00 55.00 404.00
80.00 52.00 91.00 457.00
100.00 34.00 60.00 348.00
84.00 61.00 31.00 299.00
72.00 46.00 45.00 299.00
95.00 29.00 77.00 384.00
81.00 36.00 28.00 237.00
55.00 65.00 29.00 272.00
60.00 35.00 40.00 250.00
48.00 76.00 85.00 455.00
82.00 91.00 95.00 549.00
48.00 24.00 45.00 231.00
98.00 42.00 28.00 266.00
76.00 81.00 31.00 331.00
93.00 91.00 88.00 539.00
84.00 48.00 57.00 351.00
73.00 48.00 64.00 361.00
55.00 37.00 46.00 267.00
74.00 92.00 90.00 528.00
23.00 44.00 90.00 381.00
52.00 86.00 41.00 347.00
76.00 79.00 25.00 309.00
51.00 22.00 86.00 353.00
25.00 77.00 78.00 413.00
94.00 65.00 74.00 446.00
39.00 32.00 29.00 190.00
87.00 86.00 100.00 559.00
51.00 70.00 29.00 278.00
40.00 40.00 75.00 345.00
37.00 55.00 69.00 354.00
57.00 28.00 25.00 188.00
65.00 63.00 51.00 344.00
42.00 77.00 71.00 409.00
64.00 83.00 72.00 446.00
61.00 80.00 36.00 329.00
98.00 89.00 50.00 426.00
66.00 86.00 77.00 469.00
35.00 76.00 96.00 475.00
30.00 57.00 38.00 258.00
38.00 97.00 98.00 526.00
100.00 73.00 22.00 312.00
20.00 97.00 79.00 451.00
51.00 66.00 100.00 483.00
33.00 62.00 31.00 250.00
58.00 41.00 37.00 251.00
35.00 95.00 25.00 300.00
77.00 34.00 64.00 337.00
49.00 48.00 86.00 403.00
61.00 28.00 55.00 282.00
27.00 55.00 86.00 395.00
67.00 69.00 23.00 274.00
55.00 79.00 79.00 450.00
25.00 98.00 72.00 437.00
27.00 60.00 40.00 267.00
40.00 93.00 82.00 472.00
33.00 58.00 75.00 374.00
85.00 95.00 73.00 494.00
79.00 50.00 47.00 320.00
79.00 21.00 22.00 187.00
39.00 22.00 76.00 311.00
25.00 85.00 78.00 429.00
81.00 96.00 63.00 462.00
90.00 76.00 61.00 425.00
58.00 31.00 27.00 201.00
49.00 40.00 34.00 231.00
60.00 35.00 43.00 259.00
63.00 85.00 56.00 401.00
28.00 32.00 28.00 176.00
46.00 54.00 57.00 325.00
36.00 52.00 96.00 428.00
82.00 74.00 44.00 362.00
48.00 35.00 35.00 223.00
96.00 30.00 25.00 231.00
65.00 83.00 77.00 462.00
80.00 63.00 51.00 359.00
85.00 96.00 78.00 511.00
83.00 42.00 83.00 416.00
84.00 25.00 72.00 350.00
54.00 60.00 80.00 414.00
62.00 70.00 97.00 493.00
79.00 63.00 57.00 376.00
58.00 81.00 43.00 349.00
30.00 40.00 72.00 326.00
86.00 89.00 23.00 333.00
80.00 35.00 49.00 297.00
69.00 60.00 85.00 444.00
42.00 48.00 94.00 420.00
36.00 99.00 49.00 381.00
58.00 98.00 22.00 320.00
56.00 90.00 91.00 509.00
57.00 95.00 88.00 511.00
21.00 30.00 30.00 171.00
80.00 86.00 80.00 492.00
21.00 80.00 83.00 430.00
92.00 28.00 89.00 415.00
78.00 51.00 29.00 267.00
38.00 32.00 36.00 210.00
90.00 81.00 58.00 426.00
56.00 30.00 72.00 332.00
44.00 26.00 21.00 159.00
68.00 99.00 35.00 371.00
55.00 24.00 63.00 292.00
45.00 27.00 45.00 234.00
30.00 28.00 51.00 239.00
71.00 65.00 45.00 336.00
52.00 76.00 22.00 270.00
68.00 40.00 86.00 406.00
76.00 35.00 57.00 317.00
60.00 70.00 32.00 296.00
41.00 59.00 21.00 222.00
83.00 40.00 21.00 226.00
99.00 61.00 53.00 380.00
71.00 72.00 95.00 500.00
49.00 68.00 86.00 443.00
21.00 96.00 79.00 450.00
47.00 31.00 51.00 262.00
90.00 69.00 100.00 528.00
34.00 71.00 26.00 254.00
68.00 81.00 71.00 443.00
22.00 33.00 64.00 280.00
54.00 61.00 35.00 281.00
67.00 41.00 45.00 284.00
94.00 81.00 20.00 316.00
91.00 99.00 66.00 487.00
57.00 25.00 95.00 392.00
38.00 66.00 65.00 365.00
73.00 47.00 45.00 302.00
83.00 52.00 54.00 349.00
41.00 36.00 44.00 245.00
88.00 82.00 27.00 333.00
43.00 47.00 28.00 221.00
23.00 24.00 94.00 353.00
26.00 98.00 31.00 315.00
81.00 44.00 24.00 241.00
53.00 96.00 72.00 461.00
30.00 84.00 91.00 471.00
29.00 42.00 41.00 236.00
61.00 27.00 66.00 313.00
47.00 82.00 24.00 283.00
25.00 63.00 98.00 445.00
54.00 65.00 73.00 403.00
54.00 79.00 71.00 425.00
98.00 78.00 94.00 536.00
35.00 41.00 53.00 276.00
56.00 22.00 26.00 178.00
86.00 30.00 99.00 443.00
76.00 23.00 96.00 410.00
64.00 90.00 80.00 484.00
42.00 99.00 46.00 378.00
47.00 66.00 31.00 272.00
72.00 78.00 73.00 447.00
34.00 33.00 99.00 397.00
67.00 74.00 51.00 368.00
64.00 94.00 35.00 357.00
42.00 87.00 52.00 372.00
89.00 81.00 74.00 473.00
92.00 90.00 93.00 551.00
86.00 64.00 99.00 511.00
76.00 20.00 68.00 320.00
95.00 69.00 42.00 359.00
53.00 77.00 46.00 345.00
45.00 34.00 83.00 362.00
54.00 66.00 30.00 276.00
36.00 34.00 25.00 179.00
65.00 96.00 23.00 326.00
78.00 93.00 95.00 549.00
50.00 35.00 66.00 318.00
94.00 35.00 67.00 365.00
77.00 76.00 57.00 400.00
95.00 61.00 66.00 415.00
99.00 96.00 97.00 582.00
20.00 28.00 37.00 187.00
70.00 25.00 34.00 222.00
20.00 74.00 57.00 339.00
26.00 39.00 53.00 263.00
65.00 74.00 93.00 492.00
54.00 83.00 98.00 514.00
26.00 25.00 88.00 340.00
69.00 80.00 41.00 352.00
41.00 75.00 93.00 470.00
68.00 64.00 99.00 493.00
88.00 66.00 90.00 490.00
81.00 88.00 39.00 374.00
65.00 34.00 32.00 229.00
85.00 59.00 38.00 317.00
34.00 83.00 67.00 401.00
92.00 22.00 47.00 277.00
92.00 59.00 78.00 444.00
72.00 25.00 66.00 320.00
94.00 68.00 25.00 305.00
65.00 82.00 91.00 502.00
65.00 96.00 48.00 401.00
29.00 54.00 24.00 209.00
68.00 52.00 60.00 352.00
57.00 71.00 85.00 454.00
72.00 95.00 52.00 418.00
39.00 21.00 27.00 162.00
39.00 54.00 37.00 258.00
77.00 32.00 45.00 276.00
89.00 88.00 45.00 400.00
36.00 97.00 21.00 293.00
26.00 78.00 46.00 320.00
73.00 96.00 87.00 526.00
23.00 45.00 72.00 329.00
69.00 43.00 34.00 257.00
85.00 55.00 96.00 483.00
81.00 97.00 75.00 500.00
68.00 72.00 85.00 467.00
21.00 22.00 64.00 257.00
50.00 22.00 95.00 379.00
53.00 93.00 28.00 323.00
85.00 100.00 32.00 381.00
56.00 58.00 47.00 313.00
42.00 61.00 44.00 296.00
56.00 82.00 38.00 334.00
96.00 43.00 59.00 359.00
46.00 75.00 56.00 364.00
76.00 21.00 71.00 331.00
89.00 72.00 32.00 329.00
45.00 72.00 90.00 459.00
47.00 95.00 79.00 474.00
98.00 50.00 31.00 291.00
69.00 32.00 54.00 295.00
49.00 32.00 59.00 290.00
76.00 48.00 64.00 364.00
76.00 51.00 62.00 364.00
34.00 71.00 49.00 323.00
71.00 34.00 83.00 388.00
22.00 48.00 86.00 376.00
84.00 78.00 73.00 459.00
24.00 93.00 24.00 282.00
37.00 81.00 82.00 445.00
49.00 77.00 82.00 449.00
88.00 72.00 97.00 523.00
32.00 46.00 80.00 364.00
82.00 85.00 63.00 441.00
39.00 45.00 99.00 426.00
37.00 92.00 26.00 299.00
99.00 26.00 94.00 433.00
60.00 85.00 29.00 317.00
75.00 93.00 78.00 495.00
34.00 40.00 42.00 240.00
81.00 52.00 33.00 284.00
70.00 44.00 91.00 431.00
88.00 55.00 96.00 486.00
42.00 51.00 25.00 219.00
26.00 57.00 29.00 227.00
74.00 68.00 70.00 420.00
37.00 63.00 79.00 400.00
48.00 73.00 22.00 260.00
97.00 92.00 59.00 458.00
99.00 62.00 96.00 511.00
24.00 75.00 60.00 354.00
52.00 80.00 36.00 320.00
29.00 75.00 92.00 455.00
47.00 39.00 74.00 347.00
34.00 35.00 86.00 362.00
52.00 51.00 25.00 229.00
93.00 42.00 78.00 411.00
81.00 100.00 45.00 416.00
100.00 80.00 26.00 338.00
63.00 48.00 61.00 342.00
48.00 51.00 47.00 291.00
27.00 73.00 78.00 407.00
60.00 98.00 95.00 541.00
78.00 79.00 22.00 302.00
99.00 30.00 42.00 285.00
91.00 27.00 71.00 358.00
85.00 95.00 20.00 335.00
51.00 90.00 39.00 348.00
37.00 67.00 96.00 459.00
46.00 94.00 24.00 306.00
51.00 99.00 37.00 360.00
76.00 39.00 63.00 343.00
74.00 70.00 20.00 274.00
53.00 88.00 26.00 307.00
95.00 69.00 90.00 503.00
64.00 38.00 64.00 332.00
68.00 88.00 22.00 310.00
79.00 55.00 66.00 387.00
87.00 39.00 63.00 354.00
85.00 100.00 90.00 555.00
84.00 40.00 52.00 320.00
55.00 70.00 48.00 339.00
47.00 79.00 57.00 376.00
59.00 52.00 56.00 331.00
84.00 83.00 43.00 379.00
27.00 71.00 70.00 379.00
85.00 81.00 75.00 472.00
40.00 52.00 36.00 252.00
58.00 26.00 84.00 362.00
64.00 92.00 59.00 425.00
63.00 68.00 78.00 433.00
79.00 46.00 73.00 390.00
51.00 68.00 24.00 259.00
54.00 63.00 69.00 387.00
75.00 61.00 68.00 401.00
30.00 48.00 33.00 225.00
96.00 65.00 87.00 487.00
43.00 69.00 48.00 325.00
55.00 87.00 42.00 355.00
88.00 59.00 33.00 305.00
57.00 75.00 91.00 480.00
43.00 59.00 56.00 329.00
88.00 100.00 76.00 516.00
24.00 31.00 62.00 272.00
26.00 37.00 68.00 304.00
73.00 36.00 77.00 376.00
70.00 43.00 79.00 393.00
29.00 91.00 93.00 490.00
49.00 66.00 28.00 265.00
53.00 53.00 85.00 414.00
35.00 28.00 73.00 310.00
94.00 83.00 59.00 437.00
24.00 47.00 39.00 235.00
88.00 43.00 78.00 408.00
28.00 25.00 76.00 306.00
53.00 87.00 30.00 317.00
36.00 55.00 46.00 284.00
27.00 66.00 46.00 297.00
39.00 34.00 55.00 272.00
40.00 43.00 47.00 267.00
34.00 68.00 49.00 317.00
97.00 42.00 26.00 259.00
53.00 54.00 87.00 422.00
51.00 84.00 36.00 327.00
74.00 65.00 94.00 486.00
87.00 44.00 54.00 337.00
42.00 55.00 66.00 350.00
83.00 86.00 37.00 366.00
30.00 50.00 46.00 268.00
36.00 75.00 77.00 417.00
51.00 57.00 20.00 225.00
98.00 35.00 73.00 387.00
66.00 29.00 73.00 343.00
48.00 80.00 41.00 331.00
90.00 83.00 63.00 445.00
52.00 46.00 60.00 324.00
61.00 75.00 75.00 436.00
44.00 34.00 32.00 208.00
69.00 32.00 35.00 238.00
35.00 45.00 36.00 233.00
81.00 65.00 33.00 310.00
21.00 44.00 86.00 367.00
90.00 81.00 83.00 501.00
41.00 86.00 52.00 369.00
35.00 79.00 22.00 259.00
38.00 46.00 94.00 412.00
99.00 35.00 83.00 418.00
48.00 54.00 97.00 447.00
98.00 54.00 34.00 308.00
49.00 62.00 52.00 329.00
28.00 72.00 84.00 424.00
39.00 58.00 66.00 353.00
62.00 59.00 74.00 402.00
49.00 60.00 26.00 247.00
90.00 90.00 47.00 411.00
40.00 32.00 49.00 251.00
62.00 75.00 72.00 428.00
21.00 34.00 32.00 185.00
85.00 38.00 75.00 386.00
81.00 70.00 43.00 350.00
42.00 80.00 69.00 409.00
39.00 21.00 92.00 357.00
94.00 96.00 99.00 583.00
43.00 55.00 42.00 279.00
41.00 85.00 41.00 334.00
57.00 95.00 56.00 415.00
64.00 21.00 20.00 166.00
48.00 23.00 29.00 181.00
43.00 29.00 86.00 359.00
100.00 60.00 50.00 370.00
42.00 27.00 83.00 345.00
42.00 99.00 27.00 321.00
99.00 39.00 88.00 441.00
61.00 20.00 95.00 386.00
64.00 60.00 75.00 409.00
100.00 60.00 27.00 301.00
84.00 35.00 76.00 382.00
75.00 32.00 97.00 430.00
67.00 97.00 96.00 549.00
22.00 24.00 34.00 172.00
37.00 76.00 92.00 465.00
49.00 64.00 83.00 426.00
38.00 22.00 60.00 262.00
81.00 45.00 100.00 471.00
25.00 85.00 77.00 426.00
96.00 66.00 93.00 507.00
74.00 84.00 38.00 356.00
24.00 62.00 22.00 214.00
43.00 24.00 34.00 193.00
92.00 47.00 34.00 288.00
50.00 70.00 60.00 370.00
45.00 86.00 65.00 412.00
35.00 40.00 65.00 310.00
44.00 100.00 63.00 433.00
28.00 42.00 21.00 175.00
52.00 65.00 68.00 386.00
32.00 88.00 89.00 475.00
70.00 55.00 97.00 471.00
55.00 90.00 75.00 460.00
71.00 66.00 39.00 320.00
24.00 51.00 27.00 207.00
83.00 53.00 89.00 456.00
89.00 33.00 38.00 269.00
61.00 71.00 56.00 371.00
65.00 46.00 69.00 364.00
90.00 25.00 90.00 410.00
56.00 66.00 32.00 284.00
20.00 33.00 71.00 299.00
60.00 36.00 23.00 201.00
29.00 30.00 22.00 155.00
61.00 26.00 44.00 245.00
81.00 80.00 57.00 412.00
84.00 32.00 96.00 436.00
27.00 53.00 28.00 217.00
92.00 85.00 89.00 529.00
68.00 63.00 21.00 257.00
22.00 73.00 40.00 288.00
54.00 29.00 93.00 391.00
38.00 23.00 60.00 264.00
43.00 73.00 92.00 465.00
59.00 90.00 31.00 332.00
80.00 57.00 69.00 401.00
72.00 81.00 78.00 468.00
22.00 44.00 61.00 293.00
74.00 82.00 22.00 304.00
69.00 91.00 98.00 545.00
22.00 90.00 37.00 313.00
63.00 33.00 23.00 198.00
62.00 61.00 62.00 370.00
33.00 44.00 87.00 382.00
73.00 53.00 22.00 245.00
76.00 88.00 99.00 549.00
43.00 56.00 77.00 386.00
75.00 83.00 82.00 487.00
32.00 77.00 49.00 333.00
81.00 66.00 29.00 300.00
94.00 51.00 42.00 322.00
35.00 57.00 82.00 395.00
64.00 70.00 60.00 384.00
71.00 30.00 99.00 428.00
30.00 93.00 23.00 285.00
24.00 98.00 90.00 490.00
85.00 89.00 78.00 497.00
28.00 78.00 53.00 343.00
38.00 30.00 27.00 179.00
63.00 70.00 20.00 263.00
100.00 45.00 87.00 451.00
72.00 27.00 81.00 369.00
31.00 97.00 47.00 366.00
21.00 85.00 66.00 389.00
100.00 34.00 44.00 300.00
28.00 89.00 25.00 281.00
38.00 84.00 44.00 338.00
47.00 26.00 45.00 234.00
33.00 70.00 33.00 272.00
35.00 77.00 75.00 414.00
32.00 75.00 85.00 437.00
96.00 74.00 68.00 448.00
51.00 66.00 35.00 288.00
46.00 25.00 86.00 354.00
31.00 39.00 79.00 346.00
26.00 92.00 38.00 324.00
54.00 57.00 50.00 318.00
95.00 39.00 22.00 239.00
74.00 56.00 32.00 282.00
99.00 57.00 86.00 471.00
26.00 22.00 33.00 169.00
87.00 61.00 81.00 452.00
41.00 97.00 40.00 355.00
97.00 67.00 49.00 378.00
99.00 41.00 51.00 334.00
73.00 21.00 56.00 283.00
44.00 22.00 27.00 169.00
53.00 72.00 26.00 275.00
34.00 27.00 95.00 373.00
80.00 49.00 40.00 298.00
93.00 75.00 69.00 450.00
25.00 94.00 90.00 483.00
100.00 31.00 20.00 222.00
57.00 75.00 60.00 387.00
80.00 89.00 74.00 480.00
69.00 38.00 72.00 361.00
50.00 70.00 66.00 388.00
68.00 100.00 55.00 433.00
79.00 58.00 79.00 432.00
86.00 44.00 32.00 270.00
37.00 67.00 98.00 465.00
82.00 65.00 35.00 317.00
32.00 45.00 49.00 269.00
76.00 62.00 30.00 290.00
68.00 35.00 23.00 207.00
60.00 96.00 24.00 324.00
73.00 81.00 27.00 316.00
22.00 49.00 48.00 264.00
29.00 97.00 59.00 400.00
44.00 41.00 61.00 309.00
86.00 97.00 73.00 499.00
67.00 23.00 79.00 350.00
72.00 55.00 52.00 338.00
60.00 21.00 34.00 204.00
86.00 79.00 99.00 541.00
37.00 33.00 60.00 283.00
25.00 68.00 52.00 317.00
86.00 29.00 31.00 237.00
67.00 48.00 32.00 259.00
87.00 63.00 64.00 405.00
20.00 75.00 65.00 365.00
94.00 53.00 45.00 335.00
35.00 28.00 64.00 283.00
69.00 21.00 60.00 291.00
68.00 82.00 33.00 331.00
92.00 32.00 42.00 282.00
65.00 61.00 67.00 388.00
86.00 82.00 67.00 451.00
39.00 95.00 39.00 346.00
76.00 79.00 27.00 315.00
58.00 38.00 83.00 383.00
22.00 55.00 76.00 360.00
59.00 93.00 75.00 470.00
72.00 88.00 36.00 356.00
67.00 60.00 98.00 481.00
71.00 46.00 76.00 391.00
63.00 72.00 97.00 498.00
40.00 37.00 33.00 213.00
51.00 72.00 26.00 273.00
91.00 53.00 93.00 476.00
99.00 66.00 83.00 480.00
23.00 75.00 37.00 284.00
21.00 65.00 27.00 232.00
25.00 57.00 61.00 322.00
89.00 33.00 30.00 245.00
88.00 69.00 51.00 379.00
27.00 72.00 63.00 360.00
68.00 24.00 93.00 395.00
80.00 80.00 33.00 339.00
98.00 30.00 33.00 257.00
87.00 26.00 76.00 367.00
51.00 40.00 28.00 215.00
72.00 57.00 82.00 432.00
23.00 61.00 54.00 307.00
25.00 77.00 62.00 365.00
95.00 86.00 55.00 432.00
50.00 29.00 99.00 405.00
85.00 32.00 72.00 365.00
57.00 63.00 59.00 360.00
73.00 99.00 92.00 547.00
31.00 32.00 49.00 242.00
50.00 94.00 30.00 328.00
71.00 94.00 33.00 358.00
24.00 80.00 48.00 328.00
95.00 63.00 88.00 485.00
21.00 99.00 55.00 384.00
36.00 34.00 89.00 371.00
59.00 33.00 28.00 209.00
51.00 23.00 85.00 352.00
76.00 50.00 79.00 413.00
37.00 69.00 34.00 277.00
33.00 33.00 36.00 207.00
43.00 25.00 87.00 354.00
53.00 23.00 75.00 324.00
42.00 44.00 33.00 229.00
88.00 83.00 53.00 413.00
88.00 38.00 34.00 266.00
55.00 72.00 22.00 265.00
90.00 48.00 94.00 468.00
33.00 86.00 58.00 379.00
80.00 91.00 38.00 376.00
46.00 46.00 36.00 246.00
44.00 29.00 60.00 282.00
83.00 80.00 48.00 387.00
42.00 86.00 47.00 355.00
35.00 58.00 44.00 283.00
81.00 43.00 20.00 227.00
55.00 45.00 49.00 292.00
87.00 28.00 24.00 215.00
31.00 78.00 58.00 361.00
45.00 38.00 29.00 208.00
95.00 52.00 77.00 430.00
63.00 32.00 96.00 415.00
40.00 33.00 58.00 280.00
46.00 91.00 63.00 417.00
80.00 33.00 74.00 368.00
41.00 41.00 39.00 240.00
42.00 96.00 48.00 378.00
41.00 61.00 57.00 334.00
22.00 37.00 90.00 366.00
90.00 64.00 35.00 323.00
81.00 24.00 60.00 309.00
52.00 56.00 34.00 266.00
80.00 32.00 69.00 351.00
86.00 35.00 70.00 366.00
35.00 97.00 65.00 424.00
26.00 30.00 96.00 374.00
60.00 89.00 76.00 466.00
28.00 22.00 93.00 351.00
48.00 93.00 71.00 447.00
40.00 63.00 29.00 253.00
98.00 75.00 58.00 422.00
99.00 97.00 38.00 407.00
45.00 83.00 71.00 424.00
61.00 29.00 100.00 419.00
30.00 36.00 55.00 267.00
49.00 47.00 46.00 281.00
96.00 83.00 58.00 436.00
33.00 51.00 26.00 213.00
52.00 77.00 23.00 275.00
85.00 65.00 28.00 299.00
84.00 51.00 25.00 261.00
51.00 31.00 96.00 401.00
88.00 46.00 35.00 285.00
43.00 59.00 60.00 341.00
30.00 51.00 61.00 315.00
48.00 80.00 42.00 334.00
80.00 66.00 38.00 326.00
73.00 88.00 57.00 420.00
42.00 53.00 74.00 370.00
35.00 40.00 61.00 298.00
26.00 87.00 36.00 308.00
96.00 95.00 34.00 388.00
41.00 58.00 84.00 409.00
99.00 45.00 56.00 357.00
80.00 54.00 75.00 413.00
32.00 81.00 38.00 308.00
65.00 33.00 77.00 362.00
47.00 83.00 26.00 291.00
28.00 62.00 40.00 272.00
59.00 97.00 88.00 517.00
30.00 89.00 29.00 295.00
25.00 23.00 56.00 239.00
44.00 55.00 74.00 376.00
72.00 99.00 92.00 546.00
100.00 49.00 48.00 342.00
96.00 87.00 46.00 408.00
22.00 80.00 47.00 323.00
46.00 49.00 37.00 255.00
58.00 20.00 65.00 293.00
32.00 77.00 87.00 447.00
39.00 20.00 93.00 358.00
38.00 22.00 97.00 373.00
89.00 79.00 88.00 511.00
69.00 90.00 67.00 450.00
84.00 89.00 79.00 499.00
27.00 79.00 100.00 485.00
66.00 88.00 52.00 398.00
45.00 37.00 25.00 194.00
49.00 58.00 40.00 285.00
51.00 100.00 98.00 545.00
91.00 46.00 79.00 420.00
32.00 88.00 93.00 487.00
83.00 97.00 89.00 544.00
79.00 93.00 26.00 343.00
51.00 98.00 20.00 307.00
27.00 27.00 46.00 219.00
42.00 87.00 77.00 447.00
35.00 95.00 46.00 363.00
89.00 40.00 67.00 370.00
37.00 42.00 47.00 262.00
35.00 77.00 51.00 342.00
42.00 40.00 64.00 314.00
28.00 64.00 35.00 261.00
100.00 89.00 94.00 560.00
